mpg,trans,displ
18,auto,1.8
21,manual,1.8
20,manual,2
21,auto,2
16,auto,2.8
18,manual,2.8
18,auto,3.1
18,manual,1.8
16,auto,1.8
20,manual,2
19,auto,2
15,auto,2.8
17,manual,2.8
17,auto,3.1
15,manual,3.1
15,auto,2.8
17,auto,3.1
16,auto,4.2
14,auto,5.3
11,auto,5.3
14,auto,5.3
13,auto,5.7
12,auto,6
16,manual,5.7
15,auto,5.7
16,manual,6.2
15,auto,6.2
15,manual,7
14,auto,5.3
11,auto,5.3
11,auto,5.7
14,auto,6.5
19,auto,2.4
22,auto,2.4
18,auto,3.1
18,auto,3.5
17,auto,3.6
18,auto,2.4
17,auto,3
16,auto,3.3
16,auto,3.3
17,auto,3.3
17,auto,3.3
11,auto,3.3
15,auto,3.8
15,auto,3.8
16,auto,3.8
16,auto,4
15,manual,3.7
14,auto,3.7
13,auto,3.9
14,manual,3.9
14,auto,4.7
14,auto,4.7
9,auto,4.7
11,manual,5.2
11,auto,5.2
13,auto,3.9
13,auto,4.7
9,auto,4.7
13,auto,4.7
11,auto,5.2
13,auto,5.7
11,auto,5.9
12,manual,4.7
9,auto,4.7
13,auto,4.7
13,auto,4.7
12,manual,4.7
9,manual,4.7
11,auto,5.2
11,manual,5.2
13,auto,5.7
11,auto,5.9
11,auto,4.6
11,auto,5.4
12,auto,5.4
14,auto,4
15,manual,4
14,auto,4
13,auto,4
13,auto,4.6
13,auto,5
14,auto,4.2
14,manual,4.2
13,manual,4.6
13,auto,4.6
13,auto,4.6
11,auto,5.4
13,auto,5.4
18,manual,3.8
18,auto,3.8
17,manual,4
16,auto,4
15,auto,4.6
15,manual,4.6
15,manual,4.6
15,auto,4.6
14,manual,5.4
28,manual,1.6
24,auto,1.6
25,manual,1.6
23,manual,1.6
24,auto,1.6
26,manual,1.8
25,auto,1.8
24,auto,1.8
21,manual,2
18,auto,2.4
18,manual,2.4
21,auto,2.4
21,manual,2.4
18,auto,2.5
18,manual,2.5
19,auto,3.3
19,auto,2
19,manual,2
20,manual,2
20,auto,2
17,auto,2.7
16,manual,2.7
17,manual,2.7
17,auto,3
15,auto,3.7
15,auto,4
14,auto,4.7
9,auto,4.7
14,auto,4.7
13,auto,5.7
11,auto,6.1
11,auto,4
12,auto,4.2
12,auto,4.4
11,auto,4.6
11,auto,5.4
11,auto,5.4
12,auto,5.4
14,auto,4
13,auto,4
13,auto,4.6
13,auto,5
21,manual,2.4
19,auto,2.4
23,auto,2.5
23,manual,2.5
19,manual,3.5
19,auto,3.5
18,auto,3
19,manual,3
19,auto,3.5
14,auto,3.3
15,manual,3.3
14,auto,4
12,auto,5.6
18,auto,3.1
16,auto,3.8
17,auto,3.8
18,auto,3.8
16,auto,5.3
18,manual,2.5
18,auto,2.5
20,manual,2.5
19,manual,2.5
20,auto,2.5
18,auto,2.5
21,auto,2.2
19,manual,2.2
19,manual,2.5
19,auto,2.5
20,auto,2.5
20,auto,2.5
19,manual,2.5
20,manual,2.5
15,manual,2.7
16,auto,2.7
15,auto,3.4
15,manual,3.4
16,auto,4
14,auto,4.7
21,manual,2.2
21,auto,2.2
21,manual,2.4
21,auto,2.4
18,auto,3
18,manual,3
19,auto,3.5
21,auto,2.2
21,manual,2.2
21,manual,2.4
22,auto,2.4
18,auto,3
18,manual,3
18,auto,3.3
24,auto,1.8
24,auto,1.8
26,manual,1.8
28,manual,1.8
26,auto,1.8
11,auto,4.7
13,auto,5.7
15,manual,2.7
16,auto,2.7
17,manual,2.7
15,manual,3.4
15,auto,3.4
15,manual,4
16,auto,4
21,manual,2
19,auto,2
21,manual,2
22,auto,2
17,manual,2.8
33,manual,1.9
21,manual,2
19,auto,2
22,auto,2
21,manual,2
21,auto,2.5
21,manual,2.5
16,auto,2.8
17,manual,2.8
35,manual,1.9
29,auto,1.9
21,manual,2
19,auto,2
20,manual,2.5
20,auto,2.5
21,manual,1.8
18,auto,1.8
19,auto,2
21,manual,2
16,auto,2.8
18,manual,2.8
17,auto,3.6
